Restaurant Name,Location,Contact Number/s,Restaurant Type,Rating,Cuisines Available,Most Liked Dishes,Table Booking Facility?
Cafe Shuffle,Banashankari,+91 9742166777,Cafe,4.2/5,"Cafe, Italian, Continental","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",Yes
The Coffee Shack,Banashankari,+91 9731644212,Cafe,4.2/5,"Cafe, Chinese, Continental, Italian","Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",Yes
Goa 0 Km,Kumaraswamy Layout,080 49653548,Casual Dining,3.6/5,"Goan, Seafood, North Indian, Chinese, Biryani","Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",Yes
Sri Udupi Food Hub,Jayanagar,+91 9916866033,Casual Dining,4.1/5,"South Indian, North Indian, Chinese, Beverages","Filter Coffee, Masala Dosa, Idli, Vada",Yes
Patio 805,Jayanagar,+91 8884999805,Casual Dining,4.1/5,"Thai, Vietnamese, Asian, Chinese","Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",Yes
Grazers,Jayanagar,080 26650668,Cafe,3.9/5,"Cafe, Burger, Continental, Italian, Desserts","Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",Yes
Sea Spice by 7 Star,Banashankari,080 49653393,Casual Dining,4.0/5,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry",Yes
Subz,Jayanagar,080 49652607,Casual Dining,4.2/5,"North Indian, South Indian","Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries",Yes
Cafe Shuffle,Banashankari,+91 9742166777,Cafe,4.2/5,"Cafe, Italian, Continental","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",Yes
Vinny's,Banashankari,080 26716795,Casual Dining,4.2/5,"Pizza, Italian, Continental, Desserts","Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",Yes
Brew Meister,Jayanagar,080 49652498,"Microbrewery, Casual Dining",4.1/5,"North Indian, Continental, Finger Food, American, Asian","Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav",Yes
The Coffee Shack,Banashankari,+91 9731644212,Cafe,4.2/5,"Cafe, Chinese, Continental, Italian","Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",Yes
Sea Spice by 7 Star,Banashankari,080 49653393,Casual Dining,4.0/5,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry",Yes
Vinny's,Banashankari,080 26716795,Casual Dining,4.2/5,"Pizza, Italian, Continental, Desserts","Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",Yes
Cafe Shuffle,Banashankari,+91 9742166777,Cafe,4.2/5,"Cafe, Italian, Continental","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",Yes
The Coffee Shack,Banashankari,+91 9731644212,Cafe,4.2/5,"Cafe, Chinese, Continental, Italian","Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",Yes
Deja Vu Resto Bar,Bannerghatta Road,+91 9632499855,Pub,4.4/5,"North Indian, Italian","Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta",Yes
Barbeque Nation,JP Nagar,+91 8064806060,Casual Dining,4.7/5,"North Indian, European, Mediterranean, BBQ, Kebab","Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta",Yes
Melt - Eden Park,JP Nagar,+91 9606487102,Casual Dining,4.0/5,"North Indian, Chinese, Thai, Mughlai, Seafood","Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles",Yes
Mudpipe Cafe,JP Nagar,+91 9448056565,Cafe,3.9/5,"Cafe, Continental, North Indian","Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers",Yes
PHEW (Play Hard Eat Wild),BTM,+91 9365075799,Cafe,3.9/5,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe","Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings",Yes
Stories,JP Nagar,080 49653116,"Pub, Casual Dining",4.2/5,"American, Chinese, Continental, North Indian","Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea",Yes
Marwa Restaurant,Bannerghatta Road,080 49653014,Casual Dining,3.5/5,"North Indian, Chinese, Fast Food, BBQ","Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry",Yes
