type,location,restaurant list
Bakery,BTM,"['Sweet Truth', 'Just Bake']"
Bakery,Banaswadi,['The Gluten Free Baking Co.']
Bakery,Bannerghatta Road,"[""Amma's Pastries"", 'Bread Crumbs Bakery']"
Bakery,Basavanagudi,"['Amande Patisserie', 'V B Bakery']"
Bakery,Frazer Town,"[""Atty's Bakery"", 'The Sugar Fairy', 'Leia Soul Food', 'Patisserie Nitash']"
Bakery,HBR Layout,"[""Amma's Pastries""]"
Bakery,HSR,"['Just Bake', 'L J Iyengar Bakery', 'Cake Cafe']"
Bakery,"ITPL Main Road, Whitefield",['Cakesta']
Bakery,Indiranagar,['Karachi Bakery']
Bakery,JP Nagar,"['Bake Addiction', 'Cakewala']"
Bakery,Jeevan Bhima Nagar,['Just Bake']
Bakery,Kalyan Nagar,['Just Bake']
Bakery,Koramangala 1st Block,['Bakingo']
Bakery,Koramangala 5th Block,['Just Bake']
Bakery,Malleshwaram,"['Bun World', ""Amma's Pastries""]"
Bakery,Marathahalli,['CakeZone']
Bakery,Rajajinagar,['O.G. Variar & Sons']
Bakery,Whitefield,"['Little Black Choux', 'Just Bake', 'Lemon Krust']"
"Bakery, Cafe",Indiranagar,['Breadworks']
"Bakery, Cafe",Kaggadasapura,['House of Torte']
"Bakery, Cafe",Whitefield,"[""Glen's Bakehouse"", 'Whitefield Baking Company - Bengaluru Marriott Hotel...']"
"Bakery, Dessert Parlor",Basaveshwara Nagar,['Pavitra Paradise']
"Bakery, Dessert Parlor",Bellandur,"['Happy Endings', 'Cake Town Cafe']"
"Bakery, Dessert Parlor",Lavelle Road,['Amande Patisserie']
"Bakery, Dessert Parlor",Malleshwaram,['La Heaven']
"Bakery, Dessert Parlor",New BEL Road,['Messy Eats']
"Bakery, Quick Bites",BTM,"[""Sri Devi Baker's""]"
"Bakery, Quick Bites",Electronic City,['The French Loaf']
"Bakery, Quick Bites",Frazer Town,"['The French Loaf', ""Thom's Bakery""]"
"Bakery, Quick Bites",Indiranagar,['Karachi Bakery']
"Bakery, Quick Bites",JP Nagar,['Daily Bread']
"Bakery, Quick Bites",Kammanahalli,['Gold Line Breadz']
"Bakery, Quick Bites",New BEL Road,['Just Bake']
Bar,BTM,['Pecos Hideout']
Bar,Banashankari,['Darbar']
Bar,Banaswadi,['Knowhere']
Bar,Electronic City,"['The Chameleon', 'Cedar Bar & Dive - Hotel Presidency', 'Aura - Radha Regent']"
Bar,HSR,['House Of Commons']
Bar,"ITPL Main Road, Whitefield",['Chime - Sheraton Grand Bengaluru Whitefield Hotel &...']
Bar,Indiranagar,"[""Elongo's"", ""Agent Jack's Bar""]"
Bar,JP Nagar,['55 Wall Street']
Bar,Kalyan Nagar,"[""Agent Jack's Bar"", 'Bottoms Up Resto Bar']"
Bar,Koramangala 3rd Block,"[""Sathya's""]"
Bar,Koramangala 4th Block,['Fill N Chill Resto Bar & Pub']
Bar,Koramangala 5th Block,['House Of Commons']
Bar,Koramangala 6th Block,"['The Old Fashioned Bar', 'Banana Beach Bar']"
Bar,Marathahalli,"['Xtreme Sports Bar', 'BiereKraft']"
Bar,Nagawara,['One For The Road']
Bar,New BEL Road,['Black Jack']
Bar,Old Airport Road,"[""Jeff's - Royal Orchid Hotel"", 'CloudNYN - Sterling Mac Hotel']"
Bar,Sankey Road,['Dublin - ITC Windsor']
Bar,St. Marks Road,['Scottish Pub']
Bar,Whitefield,"['One For The Road', ""Pablo's Gastrobar""]"
"Bar, Casual Dining",Bellandur,['Tipsy Bull - The Bar Exchange']
"Bar, Casual Dining",Brigade Road,"['Double Decker', 'Laughing Llama Gastropub']"
"Bar, Casual Dining",Electronic City,['Shandys-The Beer Cocktail Hub']
"Bar, Casual Dining",HSR,"['Hammered', 'Hangover', 'Safe House']"
"Bar, Casual Dining",Indiranagar,"['BTDT? Been There Done That', ""Bob's Bar"", 'Inntense Restobar', 'Barebones - The Balcony Bar', ""BabaYaga's"", 'Hangover', '1131 Bar + Kitchen', 'Nevermind - Bar & Social', 'Tipsy Bull - The Bar Exchange']"
"Bar, Casual Dining",JP Nagar,['Three Dots & A Dash']
"Bar, Casual Dining",Koramangala 4th Block,['Sotally Tober']
"Bar, Casual Dining",Koramangala 5th Block,['The Reservoire']
"Bar, Casual Dining",Koramangala 7th Block,"[""Fenny's Lounge And Kitchen""]"
"Bar, Casual Dining",Langford Town,['ThrowBack - Pub & Dine']
"Bar, Casual Dining",MG Road,['Ging - Royal Orchid Central']
"Bar, Casual Dining",Malleshwaram,['Alfresco by Bene -Sheraton Grand Bangalore Hotel at...']
"Bar, Casual Dining",Marathahalli,"['Amber Rush by The Pool', 'Bold']"
"Bar, Casual Dining",New BEL Road,['Chapter One Bar | Maiin']
"Bar, Casual Dining",Race Course Road,"['R Bar - Renaissance Hotel, Bengaluru']"
"Bar, Casual Dining",Rajajinagar,['Jetlag']
"Bar, Casual Dining",Residency Road,['Sotally Tober']
"Bar, Casual Dining",Sarjapur Road,['Sarjapur Social']
"Bar, Casual Dining",St. Marks Road,['Capri Gastrobar']
"Bar, Lounge",Seshadripuram,['KittyKo']
"Bar, Lounge",Whitefield,['alt']
"Bar, Pub",HSR,['Baar Union']
Beverage Shop,Banashankari,['Frozen Bottle']
Beverage Shop,Basavanagudi,['Frozen Bottle']
Beverage Shop,Bellandur,['Shake It Off']
Beverage Shop,Brookefield,['Frozen Bottle']
Beverage Shop,Church Street,['Lassi Shop']
Beverage Shop,HSR,['Frozen Bottle']
Beverage Shop,Indiranagar,['Frozen Bottle']
Beverage Shop,JP Nagar,['Shake It Off']
Beverage Shop,Jayanagar,"['Cool Joint', 'Chai Kraft']"
Beverage Shop,Jeevan Bhima Nagar,['Sabari Juice Junction']
Beverage Shop,Kalyan Nagar,"['Frozen Bottle', 'Breezy Cow Bar']"
Beverage Shop,Koramangala 5th Block,"['Makers of Milkshakes', 'Lassi Shop', 'Frozen Bottle']"
Beverage Shop,Koramangala 7th Block,['The ThickShake Factory']
Beverage Shop,Koramangala 8th Block,"['Sri Ganesh Juice Junction', 'Juicemaker']"
Beverage Shop,Malleshwaram,['Empire Juice Shop']
Beverage Shop,Marathahalli,"['Chai Point', 'Lassi Corner', 'Makers of Milkshakes']"
Beverage Shop,Sanjay Nagar,['Patiala Lassi']
Beverage Shop,Shanti Nagar,['Sreeraj Lassi Bar']
Beverage Shop,Whitefield,"['Bobacha', 'Arogya Thaana']"
"Beverage Shop, Cafe",Church Street,['Tata Cha']
"Beverage Shop, Dessert Parlor",Commercial Street,['Keventers']
"Beverage Shop, Dessert Parlor","ITPL Main Road, Whitefield",['Keventers']
"Beverage Shop, Dessert Parlor",Indiranagar,['Keventers']
"Beverage Shop, Dessert Parlor",JP Nagar,['Keventers']
"Beverage Shop, Dessert Parlor",Jayanagar,['Keventers']
"Beverage Shop, Dessert Parlor",Koramangala 5th Block,['Keventers']
"Beverage Shop, Dessert Parlor",Lavelle Road,['Keventers']
"Beverage Shop, Dessert Parlor",Malleshwaram,['Keventers']
"Beverage Shop, Dessert Parlor",Marathahalli,"[""Dock Frost'd""]"
"Beverage Shop, Dessert Parlor",New BEL Road,['Keventers']
"Beverage Shop, Dessert Parlor",Sarjapur Road,['Keventers']
"Beverage Shop, Quick Bites",BTM,['Chai Point']
"Beverage Shop, Quick Bites",Bannerghatta Road,['Chai Point']
"Beverage Shop, Quick Bites",Brookefield,['Chai Point']
"Beverage Shop, Quick Bites",Cunningham Road,['Chai Point']
"Beverage Shop, Quick Bites",HSR,"['Chai Point', 'Chaai Resto', 'Drunken Monkey']"
"Beverage Shop, Quick Bites",Indiranagar,['Drunken Monkey']
"Beverage Shop, Quick Bites",JP Nagar,['Drunken Monkey']
"Beverage Shop, Quick Bites",Jayanagar,"['Chai Point', 'Drunken Monkey']"
"Beverage Shop, Quick Bites",Koramangala 1st Block,['ReFresh Juice Junction']
"Beverage Shop, Quick Bites",Koramangala 5th Block,"['Juice Junction', 'Haji Ali Juice Centre']"
"Beverage Shop, Quick Bites",Koramangala 6th Block,"['Chai Point', 'Chaai Resto', 'Juice Junction Food Court']"
"Beverage Shop, Quick Bites",Koramangala 7th Block,['ONE IN A MELON']
"Beverage Shop, Quick Bites",MG Road,['Chai Point']
"Beverage Shop, Quick Bites",Marathahalli,"['Lassi Corner', 'Drunken Monkey']"
"Beverage Shop, Quick Bites",New BEL Road,"['Chai Point', 'Drunken Monkey']"
"Beverage Shop, Quick Bites",Residency Road,['Chai Point']
"Beverage Shop, Quick Bites",Whitefield,['Chai Point']
Cafe,BTM,"['Cafe Orio', 'Bakers Town', 'Mudpipe Cafe', 'De Street Cafe', 'Brewz Coffee', 'PHEW (Play Hard Eat Wild)']"
Cafe,Banashankari,"['Cafe Shuffle', 'Caf-Eleven', 'T3H Cafe', 'Woodee Pizza', 'The Coffee Shack']"
Cafe,Banaswadi,['The Sanctuary']
Cafe,Bannerghatta Road,"['Butterly', '#refuel', 'Kalmane Koffees']"
Cafe,Basavanagudi,"['Little Cafe', '1980s Games Cafe', 'Cafe Mondo', 'Redberrys']"
Cafe,Bellandur,"['Cafe Coffee Day', 'Cafe Thulp', 'Cafe Olive', 'The Salad Studio']"
Cafe,Brigade Road,"['Cafe Coffee Day', 'Trick Or Treat', 'Kalmane Koffees']"
