name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people
Byg Brewski Brewing Company,Yes,Yes,4.9,16832,+91 8039514766,Sarjapur Road,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings","Continental, North Indian, Italian, South Indian, Finger Food","1,600"
Byg Brewski Brewing Company,Yes,Yes,4.9,16832,+91 8039514766,Sarjapur Road,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings","Continental, North Indian, Italian, South Indian, Finger Food","1,600"
Byg Brewski Brewing Company,Yes,Yes,4.9,16832,+91 8039514766,Sarjapur Road,Microbrewery,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings","Continental, North Indian, Italian, South Indian, Finger Food","1,600"
Byg Brewski Brewing Company,Yes,Yes,4.9,16345,+91 8039514766,Sarjapur Road,Microbrewery,"Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish","Continental, North Indian, Italian, South Indian, Finger Food","1,600"
Byg Brewski Brewing Company,Yes,Yes,4.9,16345,+91 8039514766,Sarjapur Road,Microbrewery,"Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish","Continental, North Indian, Italian, South Indian, Finger Food","1,600"
Byg Brewski Brewing Company,Yes,Yes,4.9,16345,+91 8039514766,Sarjapur Road,Microbrewery,"Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish","Continental, North Indian, Italian, South Indian, Finger Food","1,600"
Toit,No,No,4.7,14956,+91 9019713388,Indiranagar,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos","Italian, American, Pizza","1,500"
Toit,No,No,4.7,14956,+91 9019713388,Indiranagar,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos","Italian, American, Pizza","1,500"
TBC Sky Lounge,No,Yes,4.7,6745,+91 7338649944,HSR,"Casual Dining, Bar","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food","Continental, Asian, Italian, North Indian","1,000"
TBC Sky Lounge,No,Yes,4.7,6745,+91 7338649944,HSR,"Casual Dining, Bar","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food","Continental, Asian, Italian, North Indian","1,000"
TBC Sky Lounge,No,Yes,4.7,6745,+91 7338649944,HSR,"Casual Dining, Bar","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food","Continental, Asian, Italian, North Indian","1,000"
The Globe Grub,No,Yes,4.8,3932,080 49652558,Marathahalli,Casual Dining,"Mutton Curry, Mutton Seekh, Brownie, Gol Gappe, Fish, Rabri, Chicken Curry","Continental, North Indian, Asian, Italian","1,300"
The Globe Grub,No,Yes,4.8,3932,080 49652558,Marathahalli,Casual Dining,"Mutton Curry, Mutton Seekh, Brownie, Gol Gappe, Fish, Rabri, Chicken Curry","Continental, North Indian, Asian, Italian","1,300"
Onesta,Yes,Yes,4.4,3859,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli, Stuffed Chicken Pizza","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3766,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3764,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,3738,+91 7337844620,HSR,"Casual Dining, Cafe","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli","Pizza, Cafe, Italian",600
LOFT38,No,Yes,4.3,3659,080 49337555,Indiranagar,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea","Italian, BBQ, Asian, Fast Food","1,900"
LOFT38,No,Yes,4.3,3659,080 49337555,Indiranagar,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea","Italian, BBQ, Asian, Fast Food","1,900"
LOFT38,No,Yes,4.3,3655,080 49337555,Indiranagar,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea","Italian, BBQ, Asian, Fast Food","1,900"
Smally's Resto Cafe,Yes,No,4.2,3581,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Smally's Resto Cafe,Yes,No,4.2,3581,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Smally's Resto Cafe,Yes,No,4.2,3581,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Smally's Resto Cafe,Yes,No,4.2,3576,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Smally's Resto Cafe,Yes,No,4.2,3574,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Smally's Resto Cafe,Yes,No,4.2,3569,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Smally's Resto Cafe,Yes,No,4.2,3569,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
Smally's Resto Cafe,Yes,No,4.2,3569,+91 9986658881,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650
ECHOES Koramangala,No,No,4.7,3220,+91 9663042921,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes","Chinese, American, Continental, Italian, North Indian",750
ECHOES Koramangala,No,No,4.7,3217,+91 9663042921,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes","Chinese, American, Continental, Italian, North Indian",750
ECHOES Koramangala,No,No,4.7,3215,+91 9663042921,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes","Chinese, American, Continental, Italian, North Indian",750
ECHOES Koramangala,No,No,4.7,3214,+91 9663042921,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes","Chinese, American, Continental, Italian, North Indian",750
ECHOES Koramangala,No,No,4.7,3197,080 49652674,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Momos, Mezze Platter, Pizza, Waffles, Chocolate Milkshake, Peri Chicken","Chinese, American, Continental, Italian, North Indian",750
Onesta,Yes,Yes,4.6,2906,080 43712506,Marathahalli,"Casual Dining, Cafe","Ricotta Ravioli, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Mojito, Barbeque Chicken Pizza","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.6,2906,080 43712506,Marathahalli,"Casual Dining, Cafe","Ricotta Ravioli, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Mojito, Barbeque Chicken Pizza","Pizza, Cafe, Italian",600
